@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %04s "IOTA"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720813
@ CHARGE           %le                   1
@ ENERGY           %le             0.94077
@ PC               %le       0.06851054191
@ GAMMA            %le         1.002662254
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le         39.96606465
@ ALFA             %le       0.07080135745
@ ORBIT5           %le                  -0
@ GAMMATR          %le         3.758194112
@ Q1               %le                5.31
@ Q2               %le                5.32
@ DQ1              %le        -131.1924228
@ DQ2              %le        -114.5938024
@ DXMAX            %le         33.93631269
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         6.258189708
@ BETYMAX          %le         5.627607485
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         10.11385117
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.05.02 Darwin 64"
@ DATE             %08s "07/11/20"
@ TIME             %08s "00.35.35"
* NAME                                S               BETX               ALFX                 DX                DPX               BETY               ALFY 
$ %s                                %le                %le                %le                %le                %le                %le                %le 
 "DRIFT_23"                 12.51870859        1.743995738        1.085685232        14.07409441       -7.535896209        3.517710887       -2.260414761
 "QD1R"                     12.72870859        1.935144237       -2.101957558        14.98895198        16.50704393          3.2088342        3.551527275
 "DRIFT_24"                 13.14870859        4.194692334       -3.277918863        21.92191043        16.50704393        0.973920972        1.769694698
 "QD2R"                     13.35870859        4.459827394        2.126625567        22.45429803       -11.54691406       0.5745972111       0.2937036437
 "DRIFT_25"                 14.17120859        1.821522272        1.120519198        13.07243035       -11.54691406        1.345337869       -1.242307531
 "CEL"                      14.17120859        1.821522272        1.120519198        13.07243035       -11.54691406        1.345337869       -1.242307531
 "DRIFT_26"                 14.98370859       0.8181400005       0.1144128291        3.690562676       -11.54691406        4.612096686       -2.778318705
 "QD3R"                     15.19370859        1.076366699       -1.458624659        1.687027165       -7.985040132        4.452183819        3.466117605
 "DRIFT_27"                 15.35370859        1.617512204       -1.923534753       0.4094207437       -7.985040132        3.417856354        2.998429054
 "SQD2R"                    15.45370859        2.031276036       -2.214103562      -0.3890832695       -7.985040132        2.847401077        2.706123709
 "DRIFT_28"                 15.61370859        2.814174791       -2.679013656       -1.666689691       -7.985040132        2.056271659        2.238435158
 "QD4R"                     15.82370859        3.305182538       0.5200951904       -3.095796223       -5.367680805        1.608436358       0.0527073007
 "DRIFT_29"                 16.47405027        2.791281484       0.2701064381       -6.586622775       -5.367680805        1.803565056      -0.3527475777
 "DEDGE303"                 16.47405027        2.791281484       0.2701064381       -6.586622775       -5.367680805        1.803565056      -0.4470842641
 "M4R"                      16.86519064        1.972345616        1.628681645       -6.334770251        6.625910213        2.255092908      -0.7073039917
 "DEDGE304"                 16.86519064        1.972345616        1.628681645       -6.334770251        6.625910213        2.255092908      -0.8252581469
 "DRIFT_30"                 17.41553232       0.7405814484        0.609499129       -2.688255693        6.625910213        3.389218632         -1.2355084
 "QE1R"                     17.62553232       0.7013758891      -0.4099263194       -1.534660688         4.55216285        3.206333532        2.044603971
 "DRIFT_31"                 17.71803232       0.7914614488       -0.563971623       -1.113585625         4.55216285        2.841905949        1.895153674
 "SQE1R"                    17.81803232       0.9209093197      -0.7305070865      -0.6583693396         4.55216285        2.479032004        1.733585785
 "DRIFT_32"                 18.86053232         4.25393442       -2.466639293        4.087260431         4.55216285       0.6204355569      0.04924054319
 "QE2R"                     19.07053232        3.934137686        3.824479902        4.360314727       -2.020948382       0.8934072903       -1.484096029
 "DRIFT_33"                 19.30303232        2.370469414        2.900975031        3.890444228       -2.020948382         1.77728399       -2.317524183
 "SQE2R"                    19.40303232        1.829995048        2.503768635         3.68834939       -2.020948382        2.276635198       -2.675987905
